estado,sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Aguascalientes,Agropecuario,Actividades administrativas,Básica,16.66667,44.44444,-166.7
Aguascalientes,Agropecuario,Actividades agrícolas,Básica,30.55556,25.0,18.2
Aguascalientes,Agropecuario,Actividades agrícolas,Media superior,30.55556,30.0,1.8
Aguascalientes,Agropecuario,Operadores de maquinaria,Básica,37.5,37.5,0.0
Aguascalientes,Agropecuario,Operadores de maquinaria,Media superior,37.5,37.5,0.0
Aguascalientes,Agropecuario,Operadores de maquinaria,Sin instrucción,37.29,35.71429,4.2
Aguascalientes,Agropecuario,Operadores de maquinaria,Superior,37.5,41.66667,-11.1
Aguascalientes,Agropecuario,Trabajadores de la educación,Superior,77.51938,62.5,19.4
Aguascalientes,Comercio,Actividades administrativas,Media superior,42.06349,35.416664999999995,15.8
Aguascalientes,Comercio,Actividades administrativas,Sin instrucción,41.66667,42.1875,-1.2
Aguascalientes,Comercio,Actividades administrativas,Superior,57.69231,37.5,35.0
Aguascalientes,Comercio,Actividades agrícolas,Básica,37.083335000000005,87.5,-136.0
Aguascalientes,Comercio,Actividades agrícolas,Media superior,37.77778,95.2381,-152.1
Aguascalientes,Comercio,Actividades agrícolas,Superior,35.41667,42.85714,-21.0
Aguascalientes,Comercio,Comerciantes y vendedores,Básica,37.5,33.33,11.1
Aguascalientes,Comercio,Comerciantes y vendedores,Media superior,40.0,35.9,10.3
Aguascalientes,Comercio,Comerciantes y vendedores,Sin instrucción,37.5,32.666664999999995,12.9
Aguascalientes,Comercio,Comerciantes y vendedores,Superior,42.86,41.67,2.8
Aguascalientes,Comercio,Funcionarios y directivos,Superior,36.0,52.08333,-44.7
Aguascalientes,Comercio,Trabajadores del arte,Media superior,43.65079,36.31757,16.8
Aguascalientes,Comercio,Trabajadores del arte,Superior,40.0,50.0,-25.0
Aguascalientes,Construcción,Actividades administrativas,Básica,50.0,37.5,25.0
Aguascalientes,Construcción,Actividades administrativas,Media superior,46.67,52.27273,-12.0
Aguascalientes,Construcción,Actividades administrativas,Superior,42.0,22.22222,47.1
Aguascalientes,Construcción,Actividades agrícolas,Básica,22.44898,108.333335,-382.6
Aguascalientes,Construcción,Funcionarios y directivos,Superior,48.44961,81.39535,-68.0
Aguascalientes,Construcción,Trabajadores de la educación,Superior,103.35917,101.47992,1.8
Aguascalientes,Gobierno,Actividades administrativas,Media superior,50.0,151.16279,-202.3
Aguascalientes,Gobierno,Actividades agrícolas,Básica,32.461240000000004,50.0,-54.0
Aguascalientes,Gobierno,Actividades agrícolas,Sin instrucción,27.403100000000002,76.66667,-179.8
Aguascalientes,Gobierno,Funcionarios y directivos,Superior,51.16279,58.13953,-13.6
Aguascalientes,Gobierno,Trabajadores del arte,Superior,93.02326,41.86047,55.0
Aguascalientes,Manufactura,Actividades administrativas,Básica,41.67,34.94186,16.1
Aguascalientes,Manufactura,Actividades administrativas,Media superior,42.86,36.36,15.2
