sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Agropecuario,Actividades administrativas,Básica,50.0,40.0,20.0
Agropecuario,Actividades administrativas,Media superior,47.91667,39.583335000000005,17.4
Agropecuario,Actividades administrativas,No especificado,58.33333,,
Agropecuario,Actividades administrativas,Sin instrucción,50.0,,
Agropecuario,Actividades administrativas,Superior,53.33333,37.5,29.7
Agropecuario,Actividades agrícolas,Básica,36.0,50.0,-38.9
Agropecuario,Actividades agrícolas,Media superior,41.52299,42.5,-2.4
Agropecuario,Actividades agrícolas,No especificado,52.083335000000005,172.91667,-232.0
Agropecuario,Actividades agrícolas,Sin instrucción,30.90278,50.0,-61.8
Agropecuario,Actividades agrícolas,Superior,39.791664999999995,42.261905,-6.2
Agropecuario,Comerciantes y vendedores,Básica,27.13178,358.333335,-1220.7
Agropecuario,Comerciantes y vendedores,Media superior,42.261905,63.42495,-50.1
Agropecuario,Comerciantes y vendedores,Sin instrucción,56.25,40.0,28.9
Agropecuario,Comerciantes y vendedores,Superior,57.5,77.77778,-35.3
Agropecuario,Funcionarios y directivos,Básica,50.0,45.0,10.0
Agropecuario,Funcionarios y directivos,Media superior,44.44444,43.60465,1.9
Agropecuario,Funcionarios y directivos,Sin instrucción,43.75,34.48276,21.2
Agropecuario,Funcionarios y directivos,Superior,72.795545,69.19744499999999,4.9
Agropecuario,Industria extractiva y construcción,Básica,51.190475,,
Agropecuario,Industria extractiva y construcción,Media superior,49.791664999999995,,
Agropecuario,Industria extractiva y construcción,Sin instrucción,31.25,,
Agropecuario,Industria extractiva y construcción,Superior,41.66667,,
Agropecuario,Operadores de maquinaria,Básica,35.71429,37.5,-5.0
Agropecuario,Operadores de maquinaria,Media superior,37.5,40.0,-6.7
Agropecuario,Operadores de maquinaria,No especificado,41.431340000000006,46.66667,-12.6
Agropecuario,Operadores de maquinaria,Sin instrucción,33.33333,36.25,-8.8
Agropecuario,Operadores de maquinaria,Superior,38.88889,41.66667,-7.1
Agropecuario,Otras ocupaciones,Básica,56.25,,
Agropecuario,Otras ocupaciones,Media superior,50.0,,
Agropecuario,Otras ocupaciones,Superior,51.72414,,
Agropecuario,Profesionistas y técnicos,Superior,74.612405,,
Agropecuario,Servicios personales,Básica,48.53036,168.67248,-247.6
Agropecuario,Servicios personales,Media superior,52.08333,56.25,-8.0
Agropecuario,Servicios personales,No especificado,75.16026,,
Agropecuario,Servicios personales,Sin instrucción,50.0,39.21569,21.6
Agropecuario,Servicios personales,Superior,51.11111,,
Agropecuario,Trabajadores de la educación,Básica,51.13695,,
Agropecuario,Trabajadores de la educación,Media superior,62.928925,126.39029,-100.8
Agropecuario,Trabajadores de la educación,Sin instrucción,35.83656,,
Agropecuario,Trabajadores de la educación,Superior,113.20755,91.00101,19.6
Agropecuario,Trabajadores del arte,Básica,38.09524,54.791664999999995,-43.8
Agropecuario,Trabajadores del arte,Media superior,43.47826,48.44961,-11.4
Agropecuario,Trabajadores del arte,Sin instrucción,43.75,43.055555,1.6
