anio,ocupacion,Hombre,Mujer,brecha_pp,brecha_pct
2005,Actividades administrativas,18.125,13.26531,4.86,26.8
2005,Actividades agrícolas,15.0,13.78122,1.22,8.1
2005,Comerciantes y vendedores,16.07143,12.5,3.57,22.2
2005,Funcionarios y directivos,34.28571,33.07494,1.21,3.5
2005,Industria extractiva y construcción,14.21189,17.3913,-3.18,-22.4
2005,Operadores de maquinaria,10.0,11.25,-1.25,-12.5
2005,Otras ocupaciones,16.25,15.55556,0.69,4.2
2005,Profesionistas y técnicos,53.15615,46.51163,6.64,12.5
2005,Servicios personales,17.44186,22.85714,-5.42,-31.1
2005,Trabajadores de la educación,52.06526,46.51163,5.55,10.7
2005,Trabajadores del arte,24.22481,22.807085,1.42,5.9
2006,Actividades administrativas,19.56522,14.44444,5.12,26.2
2006,Actividades agrícolas,16.53747,15.0,1.54,9.3
2006,Comerciantes y vendedores,16.66667,13.78122,2.89,17.3
2006,Funcionarios y directivos,36.47971,34.88372,1.6,4.4
2006,Industria extractiva y construcción,14.7656,19.37984,-4.61,-31.2
2006,Operadores de maquinaria,10.86957,12.12121,-1.25,-11.5
2006,Otras ocupaciones,26.9103,33.33333,-6.42,-23.9
2006,Profesionistas y técnicos,55.81395,52.09302,3.72,6.7
2006,Servicios personales,18.82614,21.25,-2.42,-12.9
2006,Trabajadores de la educación,55.37099,46.51163,8.86,16.0
2006,Trabajadores del arte,25.56848,24.0,1.57,6.1
2007,Actividades administrativas,20.67183,15.21739,5.45,26.4
2007,Actividades agrícolas,17.3913,16.47287,0.92,5.3
2007,Comerciantes y vendedores,18.0,14.53488,3.47,19.3
2007,Funcionarios y directivos,38.75969,35.118655000000004,3.64,9.4
2007,Industria extractiva y construcción,15.78073,18.41085,-2.63,-16.7
2007,Operadores de maquinaria,12.0,12.5,-0.5,-4.2
2007,Otras ocupaciones,11.42857,50.0,-38.57,-337.5
2007,Profesionistas y técnicos,58.13953,54.26357,3.88,6.7
2007,Servicios personales,20.0,22.708334999999998,-2.71,-13.6
2007,Trabajadores de la educación,58.13953,48.44961,9.69,16.7
2007,Trabajadores del arte,27.13178,25.5814,1.55,5.7
2008,Actividades administrativas,21.42857,15.625,5.8,27.1
2008,Actividades agrícolas,17.9402,16.66667,1.27,7.1
2008,Comerciantes y vendedores,18.60465,14.95017,3.65,19.6
2008,Funcionarios y directivos,38.75969,36.04651,2.71,7.0
