anio,sector,Hombre,Mujer,brecha_pp,brecha_pct
2005,Agropecuario,9.38,10.0,-0.62,-6.6
2005,Comercio,16.15,12.5,3.65,22.6
2005,Construcción,18.0,23.26,-5.26,-29.2
2005,Gobierno,21.96,26.74,-4.78,-21.8
2005,Industria extractiva,27.5,35.0,-7.5,-27.3
2005,Manufactura,17.71,13.33,4.38,24.7
2005,Restaurantes y hospedaje,16.67,13.54,3.13,18.8
2005,Servicios diversos,17.39,13.89,3.5,20.1
2005,Servicios financieros y profesionales,22.22,20.83,1.39,6.3
2005,Servicios sociales,42.28,35.66,6.62,15.7
2005,Transportes y comunicaciones,18.18,20.83,-2.65,-14.6
2006,Agropecuario,10.0,11.11,-1.11,-11.1
2006,Comercio,16.67,13.95,2.72,16.3
2006,Construcción,19.61,23.73,-4.12,-21.0
2006,Gobierno,23.26,29.9,-6.64,-28.5
2006,Industria extractiva,31.25,37.5,-6.25,-20.0
2006,Manufactura,18.75,14.58,4.17,22.2
2006,Restaurantes y hospedaje,17.5,14.81,2.69,15.4
2006,Servicios diversos,18.75,15.0,3.75,20.0
2006,Servicios financieros y profesionales,24.22,23.26,0.96,4.0
2006,Servicios sociales,46.51,38.24,8.27,17.8
2006,Transportes y comunicaciones,19.93,23.26,-3.33,-16.7
2007,Agropecuario,11.11,11.43,-0.32,-2.9
2007,Comercio,18.24,14.53,3.71,20.3
2007,Construcción,20.34,24.0,-3.66,-18.0
2007,Gobierno,25.7,30.56,-4.86,-18.9
2007,Industria extractiva,34.88,41.67,-6.79,-19.5
2007,Manufactura,20.0,15.56,4.44,22.2
2007,Restaurantes y hospedaje,18.75,16.0,2.75,14.7
2007,Servicios diversos,20.0,16.67,3.33,16.7
2007,Servicios financieros y profesionales,25.0,23.33,1.67,6.7
2007,Servicios sociales,46.51,40.0,6.51,14.0
2007,Transportes y comunicaciones,20.0,24.92,-4.92,-24.6
2008,Agropecuario,11.9,12.5,-0.6,-5.0
2008,Comercio,18.75,15.0,3.75,20.0
2008,Construcción,21.74,25.19,-3.45,-15.9
2008,Gobierno,26.58,31.4,-4.82,-18.1
2008,Industria extractiva,33.91,40.7,-6.79,-20.0
2008,Manufactura,20.31,15.74,4.57,22.5
2008,Restaurantes y hospedaje,20.0,16.67,3.33,16.7
2008,Servicios diversos,20.41,16.67,3.74,18.3
2008,Servicios financieros y profesionales,25.0,23.26,1.74,7.0
2008,Servicios sociales,46.51,40.7,5.81,12.5
2008,Transportes y comunicaciones,20.83,26.67,-5.84,-28.0
2009,Agropecuario,12.5,13.33,-0.83,-6.6
2009,Comercio,18.75,15.0,3.75,20.0
2009,Construcción,22.22,26.58,-4.36,-19.6
2009,Gobierno,27.13,33.72,-6.59,-24.3
2009,Industria extractiva,34.88,40.7,-5.82,-16.7
2009,Manufactura,20.62,16.67,3.95,19.2
2009,Restaurantes y hospedaje,19.38,16.67,2.71,14.0
2009,Servicios diversos,20.83,17.14,3.69,17.7
2009,Servicios financieros y profesionales,24.92,24.22,0.7,2.8
2009,Servicios sociales,48.45,42.64,5.81,12.0
2009,Transportes y comunicaciones,20.05,26.43,-6.38,-31.8
2010,Agropecuario,12.77,14.0,-1.23,-9.6
2010,Comercio,18.92,15.5,3.42,18.1
2010,Construcción,22.22,27.04,-4.82,-21.7
2010,Gobierno,29.07,34.88,-5.81,-20.0
2010,Industria extractiva,33.33,44.3,-10.97,-32.9
2010,Manufactura,20.83,16.67,4.16,20.0
2010,Restaurantes y hospedaje,20.0,16.67,3.33,16.7
2010,Servicios diversos,20.83,17.78,3.05,14.6
2010,Servicios financieros y profesionales,24.92,25.0,-0.08,-0.3
2010,Servicios sociales,49.61,42.64,6.97,14.0
2010,Transportes y comunicaciones,20.76,27.08,-6.32,-30.4
2011,Agropecuario,13.33,14.29,-0.96,-7.2
2011,Comercio,19.7,16.61,3.09,15.7
2011,Construcción,23.53,30.56,-7.03,-29.9
2011,Gobierno,31.01,34.88,-3.87,-12.5
2011,Industria extractiva,37.5,46.51,-9.01,-24.0
2011,Manufactura,21.43,17.0,4.43,20.7
2011,Restaurantes y hospedaje,20.0,17.05,2.95,14.8
2011,Servicios diversos,21.43,18.75,2.68,12.5
2011,Servicios financieros y profesionales,25.0,25.0,0.0,0.0
2011,Servicios sociales,50.0,46.51,3.49,7.0
2011,Transportes y comunicaciones,21.43,27.27,-5.84,-27.3
2012,Agropecuario,14.24,15.0,-0.76,-5.3
2012,Comercio,20.0,16.67,3.33,16.7
2012,Construcción,24.0,31.01,-7.01,-29.2
2012,Gobierno,32.56,38.54,-5.98,-18.4
2012,Industria extractiva,37.21,46.51,-9.3,-25.0
2012,Manufactura,22.22,17.78,4.44,20.0
2012,Restaurantes y hospedaje,20.83,18.75,2.08,10.0
2012,Servicios diversos,22.22,20.0,2.22,10.0
2012,Servicios financieros y profesionales,25.0,24.48,0.52,2.1
2012,Servicios sociales,52.33,46.51,5.82,11.1
2012,Transportes y comunicaciones,21.82,27.78,-5.96,-27.3
2013,Agropecuario,14.29,14.95,-0.66,-4.6
2013,Comercio,20.45,16.67,3.78,18.5
2013,Construcción,25.0,30.0,-5.0,-20.0
2013,Gobierno,33.22,39.87,-6.65,-20.0
2013,Industria extractiva,33.33,50.0,-16.67,-50.0
2013,Manufactura,22.92,18.75,4.17,18.2
2013,Restaurantes y hospedaje,21.53,18.75,2.78,12.9
2013,Servicios diversos,23.08,20.0,3.08,13.3
2013,Servicios financieros y profesionales,26.43,25.0,1.43,5.4
2013,Servicios sociales,53.16,46.51,6.65,12.5
2013,Transportes y comunicaciones,22.84,28.94,-6.1,-26.7
2014,Agropecuario,15.0,15.0,0.0,0.0
2014,Comercio,20.83,17.17,3.66,17.6
2014,Construcción,25.0,31.25,-6.25,-25.0
2014,Gobierno,33.22,39.87,-6.65,-20.0
2014,Industria extractiva,36.0,50.0,-14.0,-38.9
2014,Manufactura,24.0,19.02,4.98,20.8
2014,Restaurantes y hospedaje,22.0,19.38,2.62,11.9
2014,Servicios diversos,23.26,20.83,2.43,10.4
2014,Servicios financieros y profesionales,26.09,25.84,0.25,1.0
2014,Servicios sociales,54.26,46.51,7.75,14.3
