anio,sector,ocupacion,nivel_educ,sexo,poblacion_ocupada,media_ing_hora,mediana_ing_hora
2005,Agropecuario,Actividades administrativas,Básica,Hombre,39377,16.55,15.0
2005,Agropecuario,Actividades administrativas,Básica,Mujer,17637,16.29,13.5
2005,Agropecuario,Actividades administrativas,Media superior,Hombre,32828,19.57,16.67
2005,Agropecuario,Actividades administrativas,Media superior,Mujer,11695,15.58,12.27
2005,Agropecuario,Actividades administrativas,Sin instrucción,Hombre,29101,14.42,12.5
2005,Agropecuario,Actividades administrativas,Sin instrucción,Mujer,15085,14.35,11.63
2005,Agropecuario,Actividades administrativas,Superior,Hombre,8504,30.44,19.38
2005,Agropecuario,Actividades administrativas,Superior,Mujer,1060,27.29,19.27083
2005,Agropecuario,Actividades agrícolas,Básica,Hombre,49283,14.94,12.38
2005,Agropecuario,Actividades agrícolas,Básica,Mujer,5063,12.87,12.5
2005,Agropecuario,Actividades agrícolas,Media superior,Hombre,32808,12.55,10.42
2005,Agropecuario,Actividades agrícolas,Media superior,Mujer,2214,19.27,16.56863
2005,Agropecuario,Actividades agrícolas,No especificado,Hombre,323,60.0,60.0
2005,Agropecuario,Actividades agrícolas,Sin instrucción,Hombre,78251,13.83,12.5
2005,Agropecuario,Actividades agrícolas,Sin instrucción,Mujer,4306,12.94,12.708335
2005,Agropecuario,Actividades agrícolas,Superior,Hombre,5491,29.59,18.60465
2005,Agropecuario,Actividades agrícolas,Superior,Mujer,47,16.67,16.66667
2005,Agropecuario,Comerciantes y vendedores,Básica,Hombre,5918,19.27,14.955355
2005,Agropecuario,Comerciantes y vendedores,Básica,Mujer,1175,17.9,20.83333
2005,Agropecuario,Comerciantes y vendedores,Media superior,Hombre,6161,27.08,24.22
2005,Agropecuario,Comerciantes y vendedores,Media superior,Mujer,946,21.29,16.66667
2005,Agropecuario,Comerciantes y vendedores,No especificado,Hombre,1015,3.43,3.42857
2005,Agropecuario,Comerciantes y vendedores,Sin instrucción,Hombre,5019,8.53,11.458335
2005,Agropecuario,Comerciantes y vendedores,Sin instrucción,Mujer,702,10.84,9.285715
2005,Agropecuario,Comerciantes y vendedores,Superior,Hombre,6028,24.1,21.802325000000003
2005,Agropecuario,Comerciantes y vendedores,Superior,Mujer,626,39.96,32.43243
2005,Agropecuario,Funcionarios y directivos,Básica,Hombre,9302,19.31,15.0
2005,Agropecuario,Funcionarios y directivos,Básica,Mujer,1165,13.57,13.476189999999999
2005,Agropecuario,Funcionarios y directivos,Media superior,Hombre,11148,17.47,14.58
2005,Agropecuario,Funcionarios y directivos,Media superior,Mujer,1301,24.9,30.208329999999997
2005,Agropecuario,Funcionarios y directivos,Sin instrucción,Hombre,14968,14.04,14.29
2005,Agropecuario,Funcionarios y directivos,Sin instrucción,Mujer,305,12.5,12.5
2005,Agropecuario,Funcionarios y directivos,Superior,Hombre,35599,38.77,31.89
2005,Agropecuario,Funcionarios y directivos,Superior,Mujer,18444,29.51,25.0
2005,Agropecuario,Industria extractiva y construcción,Básica,Hombre,10196,11.01,10.07
2005,Agropecuario,Industria extractiva y construcción,Media superior,Hombre,5361,14.01,13.39
2005,Agropecuario,Industria extractiva y construcción,Sin instrucción,Hombre,25785,9.5,8.33
2005,Agropecuario,Industria extractiva y construcción,Superior,Hombre,985,9.86,9.34066
2005,Agropecuario,Operadores de maquinaria,Básica,Hombre,3604194,12.99,10.0
2005,Agropecuario,Operadores de maquinaria,Básica,Mujer,313890,11.93,11.07
2005,Agropecuario,Operadores de maquinaria,Media superior,Hombre,1832858,13.61,10.71
2005,Agropecuario,Operadores de maquinaria,Media superior,Mujer,120115,14.77,12.5
2005,Agropecuario,Operadores de maquinaria,No especificado,Hombre,21849,11.0,8.33
2005,Agropecuario,Operadores de maquinaria,No especificado,Mujer,1990,17.24,12.5
2005,Agropecuario,Operadores de maquinaria,Sin instrucción,Hombre,7053014,11.55,7.83
2005,Agropecuario,Operadores de maquinaria,Sin instrucción,Mujer,634661,10.69,7.5
2005,Agropecuario,Operadores de maquinaria,Superior,Hombre,479604,23.43,12.5
2005,Agropecuario,Operadores de maquinaria,Superior,Mujer,13968,18.94,14.81
2005,Agropecuario,Profesionistas y técnicos,Media superior,Hombre,107,38.76,38.75969
2005,Agropecuario,Profesionistas y técnicos,Superior,Hombre,1104,22.61,24.534885
2005,Agropecuario,Profesionistas y técnicos,Superior,Mujer,53,77.52,77.51938
2005,Agropecuario,Servicios personales,Básica,Hombre,69909,19.57,16.34
2005,Agropecuario,Servicios personales,Media superior,Hombre,54242,21.48,17.23
2005,Agropecuario,Servicios personales,Media superior,Mujer,2381,9.07,11.574069999999999
2005,Agropecuario,Servicios personales,No especificado,Hombre,907,20.83,20.83333
2005,Agropecuario,Servicios personales,Sin instrucción,Hombre,99598,18.16,15.5
2005,Agropecuario,Servicios personales,Sin instrucción,Mujer,217,33.33,33.33333
2005,Agropecuario,Servicios personales,Superior,Hombre,14028,32.62,20.0
2005,Agropecuario,Trabajadores de la educación,Básica,Hombre,7651,37.24,25.86
2005,Agropecuario,Trabajadores de la educación,Básica,Mujer,431,89.66,193.80814
2005,Agropecuario,Trabajadores de la educación,Media superior,Hombre,9659,47.87,33.22
2005,Agropecuario,Trabajadores de la educación,Media superior,Mujer,1515,66.98,44.29236
2005,Agropecuario,Trabajadores de la educación,Sin instrucción,Hombre,8793,24.4,15.0
2005,Agropecuario,Trabajadores de la educación,Sin instrucción,Mujer,2676,62.72,59.985235
2005,Agropecuario,Trabajadores de la educación,Superior,Hombre,34372,65.76,54.26
2005,Agropecuario,Trabajadores de la educación,Superior,Mujer,6277,123.79,57.049414999999996
2005,Agropecuario,Trabajadores del arte,Básica,Hombre,4653,27.47,19.259259999999998
2005,Agropecuario,Trabajadores del arte,Básica,Mujer,1652,31.7,17.41658
2005,Agropecuario,Trabajadores del arte,Media superior,Hombre,16747,30.14,19.39
2005,Agropecuario,Trabajadores del arte,Media superior,Mujer,12932,21.73,19.57
2005,Agropecuario,Trabajadores del arte,Sin instrucción,Hombre,4406,15.47,13.63636
2005,Agropecuario,Trabajadores del arte,Superior,Hombre,22290,31.25,31.25
2005,Agropecuario,Trabajadores del arte,Superior,Mujer,15628,31.42,23.26
2005,Comercio,Actividades administrativas,Básica,Hombre,305282,18.26,15.62
2005,Comercio,Actividades administrativas,Básica,Mujer,66197,15.23,13.29
2005,Comercio,Actividades administrativas,Media superior,Hombre,427872,19.66,16.67
2005,Comercio,Actividades administrativas,Media superior,Mujer,77121,14.08,12.5
2005,Comercio,Actividades administrativas,No especificado,Hombre,485,24.92,21.710525
2005,Comercio,Actividades administrativas,No especificado,Mujer,389,3.88,3.87597
2005,Comercio,Actividades administrativas,Sin instrucción,Hombre,139386,17.23,14.53
2005,Comercio,Actividades administrativas,Sin instrucción,Mujer,48755,11.57,8.33
2005,Comercio,Actividades administrativas,Superior,Hombre,173757,25.68,19.38
2005,Comercio,Actividades administrativas,Superior,Mujer,27241,27.68,16.67
2005,Comercio,Actividades agrícolas,Básica,Hombre,289632,14.79,12.73
2005,Comercio,Actividades agrícolas,Básica,Mujer,95870,15.3,12.6
2005,Comercio,Actividades agrícolas,Media superior,Hombre,265202,14.84,13.29
2005,Comercio,Actividades agrícolas,Media superior,Mujer,78717,14.64,12.5
2005,Comercio,Actividades agrícolas,Sin instrucción,Hombre,186802,15.93,13.04
2005,Comercio,Actividades agrícolas,Sin instrucción,Mujer,58756,14.35,11.88
2005,Comercio,Actividades agrícolas,Superior,Hombre,63723,20.57,15.0
2005,Comercio,Actividades agrícolas,Superior,Mujer,17301,25.29,12.92
2005,Comercio,Comerciantes y vendedores,Básica,Hombre,1978177,20.22,13.33
2005,Comercio,Comerciantes y vendedores,Básica,Mujer,2415614,16.9,11.11
2005,Comercio,Comerciantes y vendedores,Media superior,Hombre,2986369,21.52,15.5
2005,Comercio,Comerciantes y vendedores,Media superior,Mujer,3430598,18.92,12.5
2005,Comercio,Comerciantes y vendedores,No especificado,Hombre,5894,16.87,10.71
2005,Comercio,Comerciantes y vendedores,No especificado,Mujer,5495,26.92,14.58333
2005,Comercio,Comerciantes y vendedores,Sin instrucción,Hombre,1385111,16.54,11.67
2005,Comercio,Comerciantes y vendedores,Sin instrucción,Mujer,2193994,12.98,8.33
2005,Comercio,Comerciantes y vendedores,Superior,Hombre,2123661,30.76,20.0
2005,Comercio,Comerciantes y vendedores,Superior,Mujer,1584706,24.43,14.58
2005,Comercio,Funcionarios y directivos,Básica,Hombre,9164,27.1,20.83
2005,Comercio,Funcionarios y directivos,Básica,Mujer,6848,31.07,21.87742
2005,Comercio,Funcionarios y directivos,Media superior,Hombre,72063,24.17,21.32
2005,Comercio,Funcionarios y directivos,Media superior,Mujer,43902,22.35,19.38
2005,Comercio,Funcionarios y directivos,No especificado,Hombre,87,32.61,32.6087
2005,Comercio,Funcionarios y directivos,Sin instrucción,Hombre,1831,27.1,18.61849
2005,Comercio,Funcionarios y directivos,Sin instrucción,Mujer,35,9.87,9.8661
2005,Comercio,Funcionarios y directivos,Superior,Hombre,179810,40.5,31.71
2005,Comercio,Funcionarios y directivos,Superior,Mujer,165764,32.31,26.16
