anio,sexo,mediana_ing_hora,mediana_nacional
2005,Hombre,16.67,16.67
2005,Mujer,15.5,16.67
2006,Hombre,17.92,17.5
2006,Mujer,16.67,17.5
2007,Hombre,19.38,18.75
2007,Mujer,17.78,18.75
2008,Hombre,20.0,19.38
2008,Mujer,18.52,19.38
2009,Hombre,20.0,19.79
2009,Mujer,18.75,19.79
2010,Hombre,20.0,20.0
2010,Mujer,19.38,20.0
2011,Hombre,20.83,20.45
2011,Mujer,20.0,20.45
2012,Hombre,21.43,20.83
2012,Mujer,20.0,20.83
2013,Hombre,22.22,21.71
2013,Mujer,20.83,21.71
2014,Hombre,22.5,22.22
2014,Mujer,21.11,22.22
2015,Hombre,23.33,22.92
2015,Mujer,22.22,22.92
2016,Hombre,25.0,24.92
2016,Mujer,23.57,24.92
2017,Hombre,25.68,25.0
2017,Mujer,25.0,25.0
2018,Hombre,27.56,27.08
2018,Mujer,25.97,27.08
2019,Hombre,29.17,28.95
2019,Mujer,27.78,28.95
2020,Hombre,31.25,31.01
2020,Mujer,30.0,31.01
2021,Hombre,33.33,33.22
2021,Mujer,31.91,33.22
2022,Hombre,36.0,35.42
2022,Mujer,33.33,35.42
2023,Hombre,40.0,39.58
2023,Mujer,37.5,39.58
2024,Hombre,44.44,43.65
2024,Mujer,42.0,43.65
2025,Hombre,50.0,48.45
2025,Mujer,46.51,48.45
