anio,sexo,mediana_ing_hora
2005,Hombre,14.06
2005,Mujer,12.5
2006,Hombre,15.0
2006,Mujer,13.33
2007,Hombre,16.07
2007,Mujer,14.29
2008,Hombre,16.67
2008,Mujer,15.0
2009,Hombre,16.67
2009,Mujer,15.5
2010,Hombre,17.31
2010,Mujer,16.25
2011,Hombre,18.0
2011,Mujer,16.67
2012,Hombre,18.75
2012,Mujer,16.67
2013,Hombre,18.87
2013,Mujer,17.86
2014,Hombre,19.56
2014,Mujer,18.6
2015,Hombre,20.0
2015,Mujer,18.75
2016,Hombre,20.83
2016,Mujer,20.0
2017,Hombre,22.22
2017,Mujer,21.43
2018,Hombre,24.92
2018,Mujer,23.26
2019,Hombre,25.0
2019,Mujer,25.0
2020,Hombre,26.67
2020,Mujer,25.0
2021,Hombre,28.57
2021,Mujer,26.79
2022,Hombre,31.25
2022,Mujer,29.17
2023,Hombre,34.92
2023,Mujer,33.33
2024,Hombre,38.1
2024,Mujer,36.11
2025,Hombre,41.67
2025,Mujer,40.0
